"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,2,1,4,1,0,1,3,6,0,0,3,3,1,1,3
"48",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,1,1,1,1,0,1,0,0,2,0,0,1,1,1,0,1,1,0,1,0,1,2,1
"49",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,2,1,3,0,0,1,0,0,0,0,2,2,1,2,1,2,1,1,3,1,8,0,1,0,3,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,1,1,3,2,0,4,0,0,1,1,1,1,2,2,2,0,1
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,2,0,0,1,1,0,2,3,2,4,4,0,1,0,2,2,2,0,1
"52",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,4,0,3,0,0,1,1,1,1,5,1,1,1,3,0,0,1,2,3,2
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,3,2,1,2,2,0,1,0,2,0,1,1,3,2,1,4,2,4
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,5,1,1,1,5,0,7,0,0,0,9,2,1,0,1
"55",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,1,1,2,5,1,1,3,0,1,2,1,1,1,5
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"57",0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,1,0,1,1,2,1,3,0,0,1,0,0,0,1,1,3,0,2,1,2,1,1,2,3,6,1,1,1,2,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,2,0,1,1,0,1,1,3,1,2,1,1,0,4,1,2,2,1,3,0,2
"59",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,1,1,1,1,0,1,0,0,2,0,0,1,1,1,0,1,1,0,1,0,1,2,1
"60",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,3,1,0,1,4,2,3,1,1,2,5,5,1,1,5
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,1,0,0,1,3,1,2,2,2,0,1,0,1,1,1,1,4,1,1,3,1,4
"62",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,1,1,3,2,0,4,0,0,1,1,1,1,2,2,2,0,1
"63",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,1,1,3,2,1,1,1,2,1,0,0,0,2,3,0,2,4,1
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,2,3,2,3,0,4,2,1,1,1,0,3,2,0
"65",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,1,0,2,0,1,0,3,1,5,0,1,2,4,0,3,3,4,6,2
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,4,2,3,0,2,1,3,2,1,2,0,2,3,3
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,1,3,3,0,2,0,2,0,1,5,1,0,2,3,1,1
"68",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,1,2,1,1,0,0,2,4,3,0,1,1,0,0,2,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,1,3,2,4,0,1,0,1,5,0,0,0,0,0,3,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,2,1,4,1,0,1,3,6,0,0,3,3,1,1,3
"71",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,1,1,1,0,1,1,0,0,2,0,0,1,1,1,1,1,0,1,0,0,2,2,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,2,0,1,1,0,1,1,3,1,2,1,1,0,4,1,2,2,1,3,0,2
"73",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,1,1,2,5,1,1,3,0,1,2,1,1,1,5
"74",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,1,0,2,0,1,0,3,1,5,0,1,2,4,0,3,3,4,6,2
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,5,1,1,1,5,0,7,0,0,0,9,2,1,0,1
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,1,2,3,1,1,1,2,0,1,5,1,0,2,4,0,1
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,1,0,2,1,3,3,0,2,0,1,0,2,0,1,1,1,4,1,3,4,3
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"79",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,1,1,3,2,0,4,0,0,1,1,1,1,2,2,2,0,1
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,2,1,4,1,0,1,3,6,0,0,3,3,1,1,3
"81",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,3,1,0,1,4,2,3,1,1,2,5,5,1,1,5
"82",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,1,1,3,2,1,1,1,2,1,0,0,0,2,3,0,2,4,1
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,1,3,2,4,0,1,0,1,5,0,0,0,0,0,3,0
"84",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,2,1,3,0,0,1,0,0,0,0,2,2,1,2,1,2,1,1,3,2,7,0,1,0,3,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,3,1,2,1,2,3,3,0,1,2,1,1,1,1,5
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0,1,1,0,2,0,2,2,2,2,5,2,1,1,3,2,3,4
"87",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,1,2,1,1,0,0,2,4,3,0,1,1,0,0,2,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,2,3,2,3,0,4,2,1,1,1,0,3,2,0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,1,2,3,1,1,1,2,0,1,5,1,0,2,4,0,1
"90",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,1,2,4,0,3,1,1,2,0,2,3,0,2,0,1,4,0,1,5
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,2,3,2,3,0,4,2,1,1,1,0,3,2,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,1,0,2,1,3,3,0,2,0,1,0,2,0,1,1,1,4,1,3,4,3
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,2,0,1,1,0,1,1,3,1,2,1,1,0,4,1,2,2,1,3,0,2
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,2,0,1,5,1,1,0,2,7,0,1,3,2,2,0,3
"95",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,1,1,2,5,1,1,3,0,1,2,1,1,1,5
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"97",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,1,2,1,1,0,0,2,4,3,0,1,1,0,0,2,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,1,1,3,2,0,4,0,0,1,1,1,1,2,2,2,0,1
"99",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,3,1,0,1,4,2,3,1,1,2,5,5,1,1,5
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,2,2,3,2,3,0,2,1,3,2,1,2,0,2,3,3
"101",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,1,0,2,0,1,0,3,1,5,0,1,2,4,0,3,3,4,6,2
"102",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,1,1,3,2,1,1,1,2,1,0,0,0,2,3,0,2,4,1
"103",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,1,1,1,0,1,1,0,0,2,0,0,1,1,1,1,1,0,1,0,0,2,2,0
"104",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,2,1,3,0,0,1,0,0,0,0,2,2,1,2,1,2,1,1,3,2,7,0,1,0,3,0
