"","05-15","05-16","05-17","05-18","05-19","05-20","05-21","05-22","05-23","05-24","05-25","05-26","05-27","05-28","05-29","05-30","05-31","06-01","06-02","06-03","06-04","06-05","06-06","06-07","06-08","06-09","06-10","06-11","06-12","06-13","06-14","06-15","06-16","06-17","06-18","06-19","06-20","06-21","06-22","06-23","06-24","06-25","06-26","06-27","06-28","06-29"
"14",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"15",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"16",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"17",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"18",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"19",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"20",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"21",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"22",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"23",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"24",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"25",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"26",0.5,8.2,2.4,1.1,0,0,0,3.2,0.3,0,0,0,1,14.2,0,0,1.8,0,16,4.8,5,0,0,0,4.4,7.4,0,1.8,0.8,0,9.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10.6
"27",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"28",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"29",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"30",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"31",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"32",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"33",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"34",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"35",0,0,0,0,0,0,16.5,2,0,0,10.2,0.6,1.2,0.3,0,0,0,1.7,16.5,4.5,7.9,2.1,9.8,0,0,0,0,0,0,5.1,3,0,0,0,0,0.3,0,7,9,1.1,0,0,0,0,1.4,0
"36",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"37",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"38",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"39",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"40",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
