"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"68",0,0,0,0,0,0,3,0,2,1,5,1,4,4,0,5,2,0,2,0,2,4,2,2,1,3,3,2,3,3,1,2,10,6,4,4,6,5,10,7,3,13,5,11,14,7,12,10,15
"69",0,0,0,0,0,2,0,0,2,2,0,2,3,5,1,0,2,5,1,0,2,5,3,2,3,2,1,1,2,5,1,4,5,6,8,5,10,1,4,10,15,1,7,10,14,4,6,7,19
"70",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,2,1,4,1,8,1,2,1,4,3,9,3,6,5,2,2,9,10,9,9,7,11,4,5,11,9,14,9
"71",0,2,1,0,3,0,0,0,4,4,1,1,2,0,4,1,2,0,0,3,2,1,2,5,3,1,2,4,3,3,2,4,10,6,6,9,4,10,10,9,13,8,2,1,6,8,1,3,12
"72",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,4,4,0,1,6,5,2,2,4,13,6,5,8,4,8,4,5,3,8,5,12,6,6,15,15,12,15,5
"73",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,4,6,8,11,12,7,10,9,5,8,7,9,21,15,7,14,12,13,9
"74",0,0,0,0,0,1,2,0,0,0,1,3,0,0,0,3,0,2,0,3,3,5,0,1,1,2,1,5,8,7,8,4,2,3,11,2,13,9,11,7,5,19,13,7,10,5,11,7,11
"75",0,0,0,2,0,3,0,0,0,0,0,0,1,4,2,0,0,1,5,2,2,2,4,6,1,0,2,1,9,1,4,1,1,7,7,10,7,9,5,8,8,10,7,11,8,13,5,7,7
"76",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,0,2,4,2,1,6,4,5,3,10,15,0,3,8,6,6,0,10,10,8,11,11,7,8,5,10,14
"77",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,1,2,1,2,3,2,0,4,5,7,12,5,2,10,8,11,0,2,13,2,8,15,6,12,13,9,8,9,13
"78",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"79",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"80",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,2,1,4,1,8,1,2,1,4,3,9,3,6,5,2,2,9,10,9,9,7,11,4,5,11,9,14,9
"81",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
