Year,Surveyor,Site.Code,Ownership,Territory.Age,Territory.Search.Time,Territory.Search.Effort,Number.of.Visits,Grid.Reference,Latitude,Longitude,County,Birds.Present,Age.of.Female,Age.of.Male,Nest.Built.Up.,Nest.Tree.Species,Nest.Height..m.,Eggs.laid.,Number.of.Eggs,Eggs.hatched.,Number.of.Eggs.Hatched,Young.chicks.fail.,Chicks.ringed.,Number.of.chicks.ringed,Fledged.,When.did.you.check.fledging.,Number.of.Chicks.Fledged,S.Petty.Breeding.Code,Dominant.Surrounding.Habitat,Reasons.for.Nest.Failure,Comments,S.Petty_F,Breeding.Success,Altitude
2019,D,,State,12,11,No,4,NT310362,55.61448,-3.0970128,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,NA,Yes,Specific check for fledging,1,7,Plantation,NA,NA,7,1,307
2011,D,,State,1,1,Yes,NA,NT065588,55.81338,-3.4935773,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,310
2012,D,,State,2,2,Yes,NA,NT065588,55.81338,-3.4935773,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,310
2013,E,,Private,1,1,Yes,4,NY9550585128,55.160455,-2.0720888,NBLD,BP,A,A,Yes,Scots Pine,8,Yes,3,Yes,3,No,No,0,Yes,Specific check for fledging,2,7,Mixed moorland and upland farmland,NA,One chick found dead under nest in July.,7,1,276
2014,E,,Private,2,2,Yes,4,NY9550585128,55.160455,-2.0720888,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Mixed moorland and upland farmland,NA,NA,1,NA,276
2015,E,,Private,3,3,Yes,4,NY9550585128,55.160455,-2.0720888,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Mixed moorland and upland farmland,NA,Bryan Galloway recorded a bird carrying prey in the vicinity of the territory.,1,NA,276
2016,E,,Private,4,4,Yes,2,NY9550585128,55.160455,-2.0720888,NBLD,BP,1,A,Yes,Scots Pine,8,Yes,1,Yes,1,No,No,0,Yes,Specific check for fledging,1,7,Mixed moorland and upland farmland,NA,NA,7,1,276
2017,E,,Private,5,5,Yes,4,NY9550585128,55.160455,-2.0720888,NBLD,BP,A,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Mixed moorland and upland farmland,NA,NA,2,0,276
2011,B,,State,1,1,No,NA,NS7086,56.049155,-4.0887514,STIR,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,380
2012,B,,State,2,2,No,NA,NS7086,56.049155,-4.0887514,STIR,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,380
2013,B,,State,3,3,No,NA,NS7086,56.049155,-4.0887514,STIR,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,380
2014,B,,State,4,3,No,0,NS7086,56.049155,-4.0887514,STIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,380
2015,B,,State,5,3,No,0,NS7086,56.049155,-4.0887514,STIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,380
2016,B,,State,6,3,No,0,NS7086,56.049155,-4.0887514,STIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,380
2017,B,,State,7,4,No,NA,NS7086,56.049155,-4.0887514,STIR,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,380
2018,B,,State,8,4,No,0,NS7086,56.049155,-4.0887514,STIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,380
2019,B,,State,9,4,No,0,NS7086,56.049155,-4.0887514,STIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,380
2016,A,,State,10,10,Yes,1,NY99909469,55.246399,-2.0031169,NBLD,BP,U,U,Yes,Sitka,18,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,310
2017,A,,State,11,11,Yes,1,NY99909469,55.246399,-2.0031169,NBLD,BP,U,U,Yes,Sitka,18,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,310
2018,A,,State,12,12,Yes,1,NY99909469,55.246399,-2.0031169,NBLD,BP,1,A,Yes,Sitka,18,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,310
2019,A,,State,13,13,Yes,1,NY99889466,55.24613,-2.0034314,NBLD,BP,A,U,Yes,Sitka,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,Nest failed early at unknown stage.  Same nest as 2018,NA,NA,313
2013,A,,State,10,10,Yes,1,NY99729575,55.255924,-2.0059496,NBLD,BP,U,1,Yes,Douglas Fir,17,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,320
2008,C,,Private,20,3,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2009,C,,Private,21,4,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2010,C,,Private,22,5,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2011,C,,Private,23,6,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2012,C,,Private,24,7,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2013,C,,Private,25,8,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2014,C,,Private,26,9,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2015,C,,Private,27,10,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2016,C,,Private,28,11,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2017,C,,Private,29,12,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2018,C,,Private,30,13,No,NA,NT753468,55.713996,-2.3946942,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147
2008,D,,State,1,1,Yes,NA,NT194461,55.701626,-3.2840362,SCBO,BP,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,318
2009,D,,State,2,2,Yes,2,NT195459,55.699846,-3.2823867,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,358
2010,D,,State,3,3,Yes,2,NT195459,55.699846,-3.2823867,SCBO,BP,A,U,Yes,NA,NA,Yes,NA,Yes,NA,No,No,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,358
2011,D,,State,4,4,Yes,3,NT193458,55.698914,-3.2855385,SCBO,BP,A,U,Yes,NA,NA,Yes,NA,Yes,NA,no,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,350
2012,D,,State,5,5,Yes,3,NT193458,55.698914,-3.2855385,SCBO,BP,A,A,Yes,NA,NA,Yes,2,Yes,2,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,350
2013,D,,State,6,6,Yes,3,NT193458,55.698914,-3.2855385,SCBO,BP,A,A,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,350
2014,D,,State,7,7,Yes,3,NT193458,55.698914,-3.2855385,SCBO,BP,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,350
2015,D,,State,8,8,Yes,3,NT193456,55.697118,-3.2854795,SCBO,BP,A,A,Yes,NA,NA,Yes,4,Yes,4,No,Yes,4,Yes,At ringing,4,7,Plantation,NA,NA,7,1,390
2016,D,,State,9,9,Yes,3,NT193456,55.697118,-3.2854795,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,NA,At ringing,3,7,Plantation,NA,NA,7,1,390
2017,D,,State,10,10,Yes,1,NT193456,55.697118,-3.2854795,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,390
2018,D,,State,11,11,Yes,3,NT193456,55.697118,-3.2854795,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,390
2019,D,,State,12,12,Yes,5,NT193456,55.697118,-3.2854795,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,NA,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,390
2016,D,,State,1,1,Yes,1,NT031172,55.439059,-3.5331494,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,445
2018,A,,State,2,1,Yes,3,NY64519790,55.273958,-2.5601484,NBLD,BP,1,U,Yes,Sitka,13,Yes,NA,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation and Moorland,NA,"In 2017, fledged at least 1 chick as it was seen later and there were signs from the previous year",7,1,376
2019,A,,State,3,2,Yes,4,NY64559806,55.275398,-2.5595391,NBLD,BP,A,U,Yes,Sitka,20,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation and Moorland,Tree blew down,NA,4,0,391
2016,D,,State,9,9,Yes,1,NT567045,55.332633,-2.6840869,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,298
2017,D,,State,10,10,Yes,2,NT567045,55.332633,-2.6840869,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,298
2018,D,,State,11,11,Yes,1,NT567045,55.332633,-2.6840869,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,298
2016,A,,State,3,3,Yes,1,NZ02569543,55.253043,-1.961272,NBLD,BP,U,U,Yes,Sitka,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation and Moorland,NA,NA,NA,NA,286
2017,A,,State,4,4,Yes,1,NZ02569543,55.253043,-1.961272,NBLD,BP,1,U,Yes,Sitka,15,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,3,7,Plantation and Moorland,NA,NA,7,1,286
2018,A,,State,5,5,Yes,1,NZ02449518,55.250797,-1.9631618,NBLD,BP,U,U,Yes,Scots Pine,16,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,1,7,Plantation and Moorland,NA,NA,7,1,266
2019,A,,State,6,6,Yes,1,NZ02449518,55.250797,-1.9631618,NBLD,BP,U,U,Yes,Scots Pine,16,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation and Moorland,NA,NA,7,1,266
2002,A,,State,1,1,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,250
2003,A,,State,2,2,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,250
2005,A,,State,4,4,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,250
2006,A,,State,5,5,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,250
2007,A,,State,6,6,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,250
2008,A,,State,7,7,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,250
2009,A,,State,8,8,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,250
2010,A,,State,9,9,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,250
2011,A,,State,10,10,Yes,NA,NT784017,55.30891,-2.3418228,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,250
2012,A,,State,11,11,Yes,2,NT78500168,55.308735,-2.340246,NBLD,BP,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,254
2016,A,,State,15,15,Yes,1,NT78500168,55.308735,-2.340246,NBLD,SB,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,Unknown sex built up but no other bird,3,0,254
2017,A,,State,16,16,Yes,1,NT78500168,55.308735,-2.340246,NBLD,SB,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,Unknown sex built up but no other bird,3,0,254
2018,A,,State,17,17,Yes,1,NT78500168,55.308735,-2.340246,NBLD,SB,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,Unknown sex built up but no other bird,3,0,254
2019,A,,State,18,18,Yes,1,NT78500168,55.308735,-2.340246,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,Not occupied,1,NA,254
2013,A,,State,6,4,Yes,1,NT71720250,55.315759,-2.4471341,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation and Moorland,NA,"Yes. In 2012, in the same tree, the nest fledged young. In 2011 in Sitka 15, fledged again",4,0,410
2014,A,,State,7,5,Yes,4,NT71720250,55.315759,-2.4471341,NBLD,BP,U,A,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and Moorland,NA,NA,3,0,410
2015,A,,State,8,6,Yes,3,NT71720250,55.315759,-2.4471341,NBLD,BP,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and Moorland,NA,NA,3,0,410
2016,A,,State,9,7,Yes,4,NT71720250,55.315759,-2.4471341,NBLD,BP,U,U,Yes,Sitka,15,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation and Moorland,NA,NA,4,0,410
2017,A,,State,10,8,Yes,3,NT71720250,55.315759,-2.4471341,NBLD,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation and Moorland,NA,NA,2,0,410
2018,A,,State,11,9,Yes,3,NT71720250,55.315759,-2.4471341,NBLD,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation and Moorland,NA,NA,2,0,410
2019,A,,State,12,10,Yes,NA,NT71720250,55.315759,-2.4471341,NBLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation and Moorland,NA,Site felled,1,NA,410
2019,C,,Private,1,1,Yes,NA,NT272285,55.544753,-3.155295,SCBO,BP,U,U,Yes,Sitka,NA,Yes,NA,Yes,NA,No,Yes,1,Yes,NA,1,7,Plantation,NA,NA,7,1,388
2008,D,,State,1,1,No,NA,NT39303640,55.617385,-2.9653076,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,248
2009,D,,State,2,2,No,3,NT39303640,55.617385,-2.9653076,SCBO,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2010,D,,State,3,3,No,3,NT39303640,55.617385,-2.9653076,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,248
2011,D,,State,4,4,No,3,NT39303640,55.617385,-2.9653076,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,248
2012,D,,State,5,5,No,3,NT39303640,55.617385,-2.9653076,SCBO,SB,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2013,D,,State,6,6,No,2,NT39303640,55.617385,-2.9653076,SCBO,SB,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2014,D,,State,7,7,No,2,NT39303640,55.617385,-2.9653076,SCBO,SB,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2015,D,,State,8,8,No,2,NT39303640,55.617385,-2.9653076,SCBO,SB,NA,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2016,D,,State,9,8,No,0,NT39303640,55.617385,-2.9653076,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,248
2018,D,,State,11,9,No,1,NT39303640,55.617385,-2.9653076,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,248
2008,D,,State,1,1,Yes,NA,NT366095,55.375369,-3.0020123,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,214
2009,D,,State,2,2,Yes,3,NT374098,55.378168,-2.9894576,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,228
2010,D,,State,3,3,Yes,3,NT374098,55.378168,-2.9894576,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,228
2011,D,,State,4,4,Yes,2,NT374098,55.378168,-2.9894576,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,NA,NA,5,0,228
2012,D,,State,5,5,Yes,2,NT374098,55.378168,-2.9894576,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,228
2013,D,,State,6,6,Yes,3,NT292353,55.606136,-3.125352,SCBO,BP,A,A,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation,NA,NA,7,1,438
2014,D,,State,7,7,Yes,2,NT292353,55.606136,-3.125352,SCBO,SB,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,438
2015,D,,State,8,8,Yes,2,NT374098,55.378168,-2.9894576,SCBO,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,228
2016,D,,State,9,9,Yes,2,NT374098,55.378168,-2.9894576,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,228
2017,D,,State,10,10,Yes,2,NT366094,55.374471,-3.0019896,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,203
2018,D,,State,11,11,Yes,1,NT366094,55.374471,-3.0019896,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,203
2019,D,,State,12,12,Yes,4,NT366094,55.374471,-3.0019896,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,203
2008,D,,State,1,1,No,NA,NT350101,55.38055,-3.0273958,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,307
2009,D,,State,2,2,No,2,NT348099,55.378727,-3.030505,SCBO,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,280
2010,D,,State,3,3,No,2,NT348099,55.378727,-3.030505,SCBO,SB,A,A,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,280
2011,D,,State,4,4,No,2,NT348099,55.378727,-3.030505,SCBO,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,280
2012,D,,State,5,5,No,3,NT348099,55.378727,-3.030505,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,280
2013,D,,State,6,6,No,2,NT348099,55.378727,-3.030505,SCBO,BP,A,A,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,280
2014,D,,State,7,7,No,2,NT348099,55.378727,-3.030505,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,280
2015,D,,State,8,8,No,3,NT348101,55.380524,-3.0305517,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,314
2016,D,,State,9,8,No,0,NT348101,55.380524,-3.0305517,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,314
2017,D,,State,10,9,No,2,NT348101,55.380524,-3.0305517,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,314
2018,D,,State,11,10,No,1,NT348101,55.380524,-3.0305517,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,314
2019,D,,State,12,11,No,3,NT345097,55.37689,-3.0351917,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,336
2008,D,,State,1,1,Yes,NA,NT358138,55.413897,-3.0156244,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,NA,NA,5,0,359
2009,D,,State,2,2,Yes,1,NT357139,55.414782,-3.0172268,SCBO,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,352
2010,D,,State,3,3,Yes,2,NT357139,55.414782,-3.0172268,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,352
2011,D,,State,4,4,Yes,2,NT357139,55.414782,-3.0172268,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,352
2012,D,,State,5,5,Yes,2,NT357139,55.414782,-3.0172268,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,352
2013,D,,State,6,6,Yes,2,NT357139,55.414782,-3.0172268,SCBO,SB,NA,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,352
2014,D,,State,7,7,Yes,2,NT357139,55.414782,-3.0172268,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,352
2015,D,,State,8,8,Yes,3,NT366139,55.4149,-3.003013,SCBO,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,367
2016,D,,State,9,9,Yes,3,NT366139,55.4149,-3.003013,SCBO,SB,A,A,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,367
2017,D,,State,10,10,Yes,2,NT367140,55.415811,-3.0014564,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,360
2018,D,,State,11,11,Yes,1,NT367140,55.415811,-3.0014564,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,360
2019,D,,State,12,12,Yes,4,NT367140,55.415811,-3.0014564,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,NA,No,No,NA,Yes,Specific check for fledging,1,7,Plantation,NA,NA,7,1,360
1987,A,,State,5,5,No,NA,NY616958,55.25487,-2.605661,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,277
